
[Episode   0, Steps   1066] Episode Reward: -21.0, Mean Episode Reward: -21.000, size of replay buffer:   1066 Loss: 0.000, Epsilon: 0.70, Num Training Steps:    0, Per-Episode Time: 00:00:03 Total Elapsed Time 00:00:03
[Episode 236, Steps 427760] Episode Reward: -17.0, Mean Episode Reward: -16.240, size of replay buffer: 100000 Loss: 0.001, Epsilon: 0.46, Num Training Steps: 422760, Per-Episode Time: 00:05:43 Total Elapsed Time 13:47:53
[Episode 237, Steps 430477] Episode Reward: -17.0, Mean Episode Reward: -16.200, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.46, Num Training Steps: 425477, Per-Episode Time: 00:05:15 Total Elapsed Time 13:53:08
[Episode 238, Steps 432402] Episode Reward: -19.0, Mean Episode Reward: -16.200, size of replay buffer: 100000 Loss: 0.011, Epsilon: 0.46, Num Training Steps: 427402, Per-Episode Time: 00:03:51 Total Elapsed Time 13:57:00
[Episode 239, Steps 434807] Episode Reward: -17.0, Mean Episode Reward: -16.200, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.46, Num Training Steps: 429807, Per-Episode Time: 00:05:24 Total Elapsed Time 14:02:25
[Episode 240, Steps 437904] Episode Reward: -13.0, Mean Episode Reward: -16.150, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.46, Num Training Steps: 432904, Per-Episode Time: 00:05:56 Total Elapsed Time 14:08:22
[Episode 241, Steps 440569] Episode Reward: -13.0, Mean Episode Reward: -16.120, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.46, Num Training Steps: 435569, Per-Episode Time: 00:05:07 Total Elapsed Time 14:13:30
[Episode 242, Steps 442883] Episode Reward: -13.0, Mean Episode Reward: -16.060, size of replay buffer: 100000 Loss: 0.001, Epsilon: 0.46, Num Training Steps: 437883, Per-Episode Time: 00:04:27 Total Elapsed Time 14:17:57
[Episode 243, Steps 446131] Episode Reward: -19.0, Mean Episode Reward: -16.070, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.46, Num Training Steps: 441131, Per-Episode Time: 00:06:16 Total Elapsed Time 14:24:13
[Episode 244, Steps 448964] Episode Reward: -12.0, Mean Episode Reward: -16.020, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.46, Num Training Steps: 443964, Per-Episode Time: 00:05:26 Total Elapsed Time 14:29:40
[Episode 245, Steps 451634] Episode Reward: -13.0, Mean Episode Reward: -15.940, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.45, Num Training Steps: 446634, Per-Episode Time: 00:05:08 Total Elapsed Time 14:34:48
[Episode 246, Steps 453993] Episode Reward: -17.0, Mean Episode Reward: -15.930, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.45, Num Training Steps: 448993, Per-Episode Time: 00:04:33 Total Elapsed Time 14:39:21
[Episode 247, Steps 456326] Episode Reward: -16.0, Mean Episode Reward: -15.930, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.45, Num Training Steps: 451326, Per-Episode Time: 00:04:29 Total Elapsed Time 14:43:51
[Episode 248, Steps 458221] Episode Reward: -18.0, Mean Episode Reward: -15.940, size of replay buffer: 100000 Loss: 0.001, Epsilon: 0.45, Num Training Steps: 453221, Per-Episode Time: 00:03:37 Total Elapsed Time 14:47:29
[Episode 249, Steps 460636] Episode Reward: -17.0, Mean Episode Reward: -15.950, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.45, Num Training Steps: 455636, Per-Episode Time: 00:04:41 Total Elapsed Time 14:52:11
[Episode 250, Steps 462956] Episode Reward: -18.0, Mean Episode Reward: -15.940, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.45, Num Training Steps: 457956, Per-Episode Time: 00:04:26 Total Elapsed Time 14:56:37
[Test Episode Reward] Average: 1.000, Standard Dev.: 4.082
[Episode 251, Steps 465139] Episode Reward: -13.0, Mean Episode Reward: -15.900, size of replay buffer: 100000 Loss: 0.001, Epsilon: 0.45, Num Training Steps: 460139, Per-Episode Time: 00:04:14 Total Elapsed Time 15:02:04
[Episode 252, Steps 467347] Episode Reward: -16.0, Mean Episode Reward: -15.900, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.45, Num Training Steps: 462347, Per-Episode Time: 00:04:12 Total Elapsed Time 15:06:17
[Episode 253, Steps 469913] Episode Reward: -16.0, Mean Episode Reward: -15.860, size of replay buffer: 100000 Loss: 0.001, Epsilon: 0.45, Num Training Steps: 464913, Per-Episode Time: 00:04:55 Total Elapsed Time 15:11:12
[Episode 254, Steps 472979] Episode Reward: -14.0, Mean Episode Reward: -15.840, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.45, Num Training Steps: 467979, Per-Episode Time: 00:05:55 Total Elapsed Time 15:17:07
[Episode 255, Steps 475012] Episode Reward: -14.0, Mean Episode Reward: -15.890, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.45, Num Training Steps: 470012, Per-Episode Time: 00:03:54 Total Elapsed Time 15:21:02
[Episode 256, Steps 477898] Episode Reward: -14.0, Mean Episode Reward: -15.850, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.44, Num Training Steps: 472898, Per-Episode Time: 00:05:33 Total Elapsed Time 15:26:35
[Episode 257, Steps 481058] Episode Reward: -13.0, Mean Episode Reward: -15.820, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.44, Num Training Steps: 476058, Per-Episode Time: 00:06:00 Total Elapsed Time 15:32:35
[Episode 258, Steps 483504] Episode Reward: -16.0, Mean Episode Reward: -15.830, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.44, Num Training Steps: 478504, Per-Episode Time: 00:04:38 Total Elapsed Time 15:37:14
[Episode 259, Steps 485916] Episode Reward: -17.0, Mean Episode Reward: -15.830, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.44, Num Training Steps: 480916, Per-Episode Time: 00:04:36 Total Elapsed Time 15:41:50
[Episode 260, Steps 489145] Episode Reward: -11.0, Mean Episode Reward: -15.730, size of replay buffer: 100000 Loss: 0.014, Epsilon: 0.44, Num Training Steps: 484145, Per-Episode Time: 00:06:07 Total Elapsed Time 15:47:57
[Episode 261, Steps 492196] Episode Reward: -11.0, Mean Episode Reward: -15.670, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.44, Num Training Steps: 487196, Per-Episode Time: 00:05:46 Total Elapsed Time 15:53:43
[Episode 262, Steps 494005] Episode Reward: -17.0, Mean Episode Reward: -15.640, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.44, Num Training Steps: 489005, Per-Episode Time: 00:03:28 Total Elapsed Time 15:57:12
[Episode 263, Steps 496594] Episode Reward: -12.0, Mean Episode Reward: -15.620, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.44, Num Training Steps: 491594, Per-Episode Time: 00:04:56 Total Elapsed Time 16:02:08
[Episode 264, Steps 498415] Episode Reward: -15.0, Mean Episode Reward: -15.600, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.44, Num Training Steps: 493415, Per-Episode Time: 00:03:27 Total Elapsed Time 16:05:36
[Episode 265, Steps 501524] Episode Reward: -11.0, Mean Episode Reward: -15.530, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.43, Num Training Steps: 496524, Per-Episode Time: 00:05:55 Total Elapsed Time 16:11:31
[Episode 266, Steps 504471] Episode Reward: -14.0, Mean Episode Reward: -15.530, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.43, Num Training Steps: 499471, Per-Episode Time: 00:05:35 Total Elapsed Time 16:17:07
[Episode 267, Steps 506990] Episode Reward: -14.0, Mean Episode Reward: -15.520, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.43, Num Training Steps: 501990, Per-Episode Time: 00:04:47 Total Elapsed Time 16:21:54
[Episode 268, Steps 510760] Episode Reward: -13.0, Mean Episode Reward: -15.500, size of replay buffer: 100000 Loss: 0.015, Epsilon: 0.43, Num Training Steps: 505760, Per-Episode Time: 00:07:12 Total Elapsed Time 16:29:07
[Episode 269, Steps 513695] Episode Reward: -16.0, Mean Episode Reward: -15.560, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.43, Num Training Steps: 508695, Per-Episode Time: 00:05:36 Total Elapsed Time 16:34:43
[Episode 270, Steps 516275] Episode Reward: -14.0, Mean Episode Reward: -15.550, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.43, Num Training Steps: 511275, Per-Episode Time: 00:04:54 Total Elapsed Time 16:39:38
[Episode 271, Steps 519339] Episode Reward: -16.0, Mean Episode Reward: -15.570, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.43, Num Training Steps: 514339, Per-Episode Time: 00:05:52 Total Elapsed Time 16:45:30
[Episode 272, Steps 521423] Episode Reward: -16.0, Mean Episode Reward: -15.550, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.43, Num Training Steps: 516423, Per-Episode Time: 00:03:58 Total Elapsed Time 16:49:29
[Episode 273, Steps 524718] Episode Reward: -16.0, Mean Episode Reward: -15.540, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.43, Num Training Steps: 519718, Per-Episode Time: 00:06:17 Total Elapsed Time 16:55:46
[Episode 274, Steps 526549] Episode Reward: -20.0, Mean Episode Reward: -15.570, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.43, Num Training Steps: 521549, Per-Episode Time: 00:03:34 Total Elapsed Time 16:59:21
[Episode 275, Steps 529308] Episode Reward: -14.0, Mean Episode Reward: -15.550, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.42, Num Training Steps: 524308, Per-Episode Time: 00:05:15 Total Elapsed Time 17:04:36
[Episode 276, Steps 532785] Episode Reward: -16.0, Mean Episode Reward: -15.560, size of replay buffer: 100000 Loss: 0.012, Epsilon: 0.42, Num Training Steps: 527785, Per-Episode Time: 00:06:38 Total Elapsed Time 17:11:15
[Episode 277, Steps 535111] Episode Reward: -18.0, Mean Episode Reward: -15.560, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.42, Num Training Steps: 530111, Per-Episode Time: 00:04:25 Total Elapsed Time 17:15:40
[Episode 278, Steps 537829] Episode Reward: -17.0, Mean Episode Reward: -15.530, size of replay buffer: 100000 Loss: 0.010, Epsilon: 0.42, Num Training Steps: 532829, Per-Episode Time: 00:05:11 Total Elapsed Time 17:20:51
[Episode 279, Steps 539645] Episode Reward: -15.0, Mean Episode Reward: -15.530, size of replay buffer: 100000 Loss: 0.012, Epsilon: 0.42, Num Training Steps: 534645, Per-Episode Time: 00:03:28 Total Elapsed Time 17:24:20
[Episode 280, Steps 542492] Episode Reward: -15.0, Mean Episode Reward: -15.510, size of replay buffer: 100000 Loss: 0.013, Epsilon: 0.42, Num Training Steps: 537492, Per-Episode Time: 00:05:26 Total Elapsed Time 17:29:47
[Episode 281, Steps 544685] Episode Reward: -13.0, Mean Episode Reward: -15.460, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.42, Num Training Steps: 539685, Per-Episode Time: 00:04:11 Total Elapsed Time 17:33:58
[Episode 282, Steps 546273] Episode Reward: -18.0, Mean Episode Reward: -15.490, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.42, Num Training Steps: 541273, Per-Episode Time: 00:03:02 Total Elapsed Time 17:37:00
[Episode 283, Steps 548167] Episode Reward: -18.0, Mean Episode Reward: -15.500, size of replay buffer: 100000 Loss: 0.008, Epsilon: 0.42, Num Training Steps: 543167, Per-Episode Time: 00:03:37 Total Elapsed Time 17:40:38
[Episode 284, Steps 550896] Episode Reward: -15.0, Mean Episode Reward: -15.480, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.42, Num Training Steps: 545896, Per-Episode Time: 00:05:11 Total Elapsed Time 17:45:50
[Episode 285, Steps 552739] Episode Reward: -16.0, Mean Episode Reward: -15.510, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.41, Num Training Steps: 547739, Per-Episode Time: 00:03:31 Total Elapsed Time 17:49:21
[Episode 286, Steps 555462] Episode Reward: -15.0, Mean Episode Reward: -15.510, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.41, Num Training Steps: 550462, Per-Episode Time: 00:05:12 Total Elapsed Time 17:54:33
[Episode 287, Steps 557795] Episode Reward: -16.0, Mean Episode Reward: -15.540, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.41, Num Training Steps: 552795, Per-Episode Time: 00:04:34 Total Elapsed Time 17:59:08
[Episode 288, Steps 559537] Episode Reward: -19.0, Mean Episode Reward: -15.610, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.41, Num Training Steps: 554537, Per-Episode Time: 00:03:19 Total Elapsed Time 18:02:27
[Episode 289, Steps 561799] Episode Reward: -18.0, Mean Episode Reward: -15.620, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.41, Num Training Steps: 556799, Per-Episode Time: 00:04:18 Total Elapsed Time 18:06:45
[Episode 290, Steps 563884] Episode Reward: -16.0, Mean Episode Reward: -15.630, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.41, Num Training Steps: 558884, Per-Episode Time: 00:03:59 Total Elapsed Time 18:10:44
[Episode 291, Steps 567219] Episode Reward:  -8.0, Mean Episode Reward: -15.560, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.41, Num Training Steps: 562219, Per-Episode Time: 00:06:30 Total Elapsed Time 18:17:15
wandb: Network error resolved after 0:00:17.984710, resuming normal operation.
[Episode 292, Steps 569953] Episode Reward: -18.0, Mean Episode Reward: -15.570, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.41, Num Training Steps: 564953, Per-Episode Time: 00:17:36 Total Elapsed Time 18:34:51
[Episode 293, Steps 572308] Episode Reward: -17.0, Mean Episode Reward: -15.610, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.41, Num Training Steps: 567308, Per-Episode Time: 00:04:26 Total Elapsed Time 18:39:17
[Episode 294, Steps 575421] Episode Reward: -16.0, Mean Episode Reward: -15.640, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.41, Num Training Steps: 570421, Per-Episode Time: 00:05:52 Total Elapsed Time 18:45:10
[Episode 295, Steps 578037] Episode Reward: -20.0, Mean Episode Reward: -15.660, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.40, Num Training Steps: 573037, Per-Episode Time: 00:05:09 Total Elapsed Time 18:50:19
[Episode 296, Steps 580638] Episode Reward: -15.0, Mean Episode Reward: -15.670, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.40, Num Training Steps: 575638, Per-Episode Time: 00:05:10 Total Elapsed Time 18:55:29
[Episode 297, Steps 583306] Episode Reward: -13.0, Mean Episode Reward: -15.600, size of replay buffer: 100000 Loss: 0.007, Epsilon: 0.40, Num Training Steps: 578306, Per-Episode Time: 00:05:40 Total Elapsed Time 19:01:10
[Episode 298, Steps 585796] Episode Reward: -15.0, Mean Episode Reward: -15.620, size of replay buffer: 100000 Loss: 0.007, Epsilon: 0.40, Num Training Steps: 580796, Per-Episode Time: 00:04:59 Total Elapsed Time 19:06:10
[Episode 299, Steps 587700] Episode Reward: -16.0, Mean Episode Reward: -15.630, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.40, Num Training Steps: 582700, Per-Episode Time: 00:03:49 Total Elapsed Time 19:10:00
[Episode 300, Steps 589667] Episode Reward: -16.0, Mean Episode Reward: -15.620, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.40, Num Training Steps: 584667, Per-Episode Time: 00:03:56 Total Elapsed Time 19:13:56
[Test Episode Reward] Average: 3.667, Standard Dev.: 0.471
Solved in 589667 steps (584667 training steps)!
Solved in 589667 steps (584667 training steps)!
Total Training End : 19:15:27
